😱 לרעוד להזדעזע לקפוא לשאוף חזה-נלחץ
😢 גרון-נסגר עיניים-צורבות שפתיים-רועדות דמעות-נופלות
�� חזה-חם פנים-מתרככות כתפיים-יורדות נשימה-נרגעת
😌 עמוד-שדרה-נרגע לסת-נפתחת ידיים-שקטות נשימה-אטית
💔 בטן-מתפתלת צלעות-נלחצות חזה-חלול נשימה-נתפסת
😭 חזה-נסדק גרון-נופח עיניים-מוצפות גוף-רועד
😡 לסת-ננעלת אגרופים-נלחצים פנים-בוערות דם-רותח
🤕 גוף-מתוח מתכווץ שיניים-חורקות כאב-דוקר
🙏 ראש-מתכופף עיניים-נעצמות ידיים-לוחצות חזה-נפתח
💪 שרירים-מתוחים עמוד-שדרה-מתיישר חזה-מתרומם נשימה-עמוקה
😴 גוף-שוקע עפעפיים-כבדות גפיים-רפויות נשימה-מאטה
🥰 פנים-מסמיקות לב-מתנפח אצבעות-מדגדגות חום-מתפשט
😮 גבות-מורמות לסת-נופלת נשימה-נתפסת עיניים-נפערות
🌅 עיניים-מתרככות חזה-נפתח נשימה-מעמיקה חום-עולה
🌙 גוף-מאט עפעפיים-יורדות שרירים-משתחררים שקט-שורה
🌧️ כתפיים-מתכופפות עור-מצטמרר גוף-מתכווץ נשימה-רדודה
☀️ פנים-מורמות עיניים-מצטמצמות עור-מתחמם גוף-נרגע
🔥 עור-בוער דופק-מואץ לחיים-סומקות אנרגיה-מתפרצת
🌊 חזה-מתנפח נשימה-קצבית גוף-מתנדנד עמוד-שדרה-מתגלגל
